 filename, receiver, sender, num
./matrix/inline_1.mtx, 2, 6, 0
./matrix/inline_1.mtx, 2, 5, 504
./matrix/inline_1.mtx, 2, 4, 18
./matrix/inline_1.mtx, 2, 3, 9516
./matrix/inline_1.mtx, 2, 2, 0
./matrix/inline_1.mtx, 2, 1, 429
./matrix/inline_1.mtx, 2, 0, 516
./matrix/inline_1.mtx, 4, 7, 0
./matrix/inline_1.mtx, 4, 6, 0
./matrix/inline_1.mtx, 4, 5, 4566
./matrix/inline_1.mtx, 4, 4, 0
./matrix/inline_1.mtx, 4, 3, 660
./matrix/inline_1.mtx, 4, 2, 12
./matrix/inline_1.mtx, 4, 1, 0
./matrix/inline_1.mtx, 4, 0, 0
./matrix/inline_1.mtx, 0, 7, 0
./matrix/inline_1.mtx, 0, 6, 0
./matrix/inline_1.mtx, 0, 5, 0
./matrix/inline_1.mtx, 0, 4, 0
./matrix/inline_1.mtx, 0, 3, 2304
./matrix/inline_1.mtx, 0, 2, 42
./matrix/inline_1.mtx, 0, 1, 1443
./matrix/inline_1.mtx, 0, 0, 0
